maintenance_id,device_id,maintenance_date,maintenance_type,downtime_minutes,technician_note
M000080,D0079,2026-01-08,preventive,79,Preventive inspection completed.
M000081,D0081,2026-04-15,corrective,178,High error count required detailed inspection.
M000082,D0082,2025-12-03,corrective,217,Checked error logs and reset device components.
M000083,D0083,2026-02-08,hardware inspection,211,High error count required detailed inspection.
M000084,D0084,2026-02-12,corrective,167,Software patch installed after telemetry warning.
M000085,D0085,2026-05-09,preventive,25,Preventive inspection completed.
M000086,D0086,2026-02-16,hardware inspection,66,Preventive inspection completed.
M000087,D0088,2026-02-01,hardware inspection,32,Software patch installed after telemetry warning.
M000088,D0089,2026-01-22,software update,167,Checked error logs and reset device components.
M000089,D0090,2026-04-28,hardware inspection,31,Preventive inspection completed.
M000090,D0090,2026-01-21,hardware inspection,23,High error count required detailed inspection.
M000091,D0092,2026-03-19,software update,121,Preventive inspection completed.
M000092,D0094,2026-02-11,software update,106,High error count required detailed inspection.
M000093,D0095,2026-05-20,software update,27,Software patch installed after telemetry warning.
M000094,D0096,2026-03-11,hardware inspection,193,Software patch installed after telemetry warning.
M000095,D0096,2026-01-27,hardware inspection,88,Checked error logs and reset device components.
M000096,D0097,2026-03-08,hardware inspection,208,Preventive inspection completed.
M000097,D0098,2026-02-11,preventive,195,Software patch installed after telemetry warning.
M000098,D0099,2026-04-23,hardware inspection,46,Software patch installed after telemetry warning.
M000099,D0099,2026-03-17,software update,203,Software patch installed after telemetry warning.
M000100,D0100,2026-01-30,preventive,56,Preventive inspection completed.
M000101,D0101,2026-02-12,preventive,86,Software patch installed after telemetry warning.
M000102,D0101,2025-12-22,software update,33,Software patch installed after telemetry warning.
M000103,D0102,2026-04-28,hardware inspection,162,Preventive inspection completed.
M000104,D0102,2026-03-31,preventive,224,Software patch installed after telemetry warning.
M000105,D0103,2026-04-02,corrective,81,High error count required detailed inspection.
M000106,D0104,2026-03-07,preventive,126,Checked error logs and reset device components.
M000107,D0105,2026-01-10,preventive,48,Software patch installed after telemetry warning.
M000108,D0106,2026-05-14,corrective,49,High error count required detailed inspection.
M000109,D0106,2026-02-16,hardware inspection,228,Software patch installed after telemetry warning.
M000110,D0107,2026-03-27,corrective,197,Software patch installed after telemetry warning.
M000111,D0107,2026-01-13,corrective,162,High error count required detailed inspection.
M000112,D0108,2025-12-06,hardware inspection,115,High error count required detailed inspection.
M000113,D0111,2026-04-04,hardware inspection,169,Preventive inspection completed.
M000114,D0113,2026-02-28,hardware inspection,211,Preventive inspection completed.
M000115,D0114,2026-02-10,hardware inspection,26,Software patch installed after telemetry warning.
M000116,D0114,2026-03-17,corrective,66,Preventive inspection completed.
M000117,D0115,2026-03-14,corrective,41,Checked error logs and reset device components.
M000118,D0116,2025-12-21,software update,107,Software patch installed after telemetry warning.
M000119,D0117,2026-04-10,preventive,114,Preventive inspection completed.
M000120,D0117,2025-12-07,software update,230,Preventive inspection completed.
M000121,D0118,2026-03-03,software update,181,Preventive inspection completed.
M000122,D0118,2026-03-30,software update,223,Preventive inspection completed.
M000123,D0119,2025-12-17,hardware inspection,84,High error count required detailed inspection.
M000124,D0119,2026-03-17,software update,180,Software patch installed after telemetry warning.
M000125,D0120,2026-01-22,software update,27,High error count required detailed inspection.
M000126,D0120,2026-02-07,hardware inspection,46,Checked error logs and reset device components.
